GaugeID,Warning Level,Danger Level,Station,Latitude,Longitude,River Name/ Tributory/ SubTributory,Basin,State,Start_date,End_date,Level_Entries,Streamflow_Entries,Privacy,Source Catchment Area,Catchment Area,Area variation (%),Reliability
INDOFLOODS-gauge-118,66.75,67.75,Jainagar,26.5833,86.1481,Ganga/Kosi/ Kamla-Balan,Ganga - Brahmaputra - Meghna/Barak,Bihar,01-07-1970,31-12-2010,14134,13725,Restricted,2131,2118.569336,0.583325387,Safe
INDOFLOODS-gauge-119,49,50,Jhanjharpur,26.2333,86.2594,Ganga/Kosi/ Kamla-Balan,Ganga - Brahmaputra - Meghna/Barak,Bihar,01-01-1970,31-12-2010,14939,14616,Restricted,2945,3504.423584,18.99570744,Safe
INDOFLOODS-gauge-121,70,71,DHENG BRIDGE,26.7228,85.3231,Ganga/Kosi/ Bagmati,Ganga - Brahmaputra - Meghna/Barak,Bihar,01-07-1970,31-12-2010,14762,14750,Restricted,3790,3580.846924,5.518550818,Safe
INDOFLOODS-gauge-571,226.73,227.73,Pauni,20.7947,79.6478,Godavari/Pranhita/ Wainganga,Godavari,Maharashtra,21-09-1964,27-05-2020,15744,15032,Open,35520,35499.88672,0.056625225,Safe
INDOFLOODS-gauge-964,198.33,199.33,garhmukteshwar,28.7667,78.1417,Ganga,Ganga - Brahmaputra - Meghna,Uttar Pradesh,01-04-1967,30-12-2011,16345,16345,Restricted,29709,28710.80859,3.359895688,Safe
INDOFLOODS-gauge-120,34.65,35.65,Dhengraghat,25.8478,87.8031,Ganga/Mahananda,Ganga - Brahmaputra - Meghna/Barak,Bihar,01-04-1985,31-12-2010,9405,9375,Restricted,10160,7669.711426,24.51071431,Safe
INDOFLOODS-gauge-955,189.6,190.6,moradabad,28.8267,78.7981,Ganga/Ramganga,Ganga - Brahmaputra - Meghna,Uttar Pradesh,22-05-1968,31-12-2011,15855,15844,Restricted,6807,6854.594727,0.699202688,Safe
INDOFLOODS-gauge-117,61.22,62.22,Dumariaghat,26.3792,84.7317,Ganga/Gandak,Ganga - Brahmaputra - Meghna/Barak,Bihar,01-01-1977,31-12-2010,12418,12356,Restricted,41520,40759.60156,1.831402794,Safe
INDOFLOODS-gauge-960,136.6,137.6,fatehgarh,27.4042,79.625,Ganga,Ganga - Brahmaputra - Meghna,Uttar Pradesh,14-11-1971,31-12-2011,14657,14658,Restricted,40096,38909.0625,2.960239176,Safe
INDOFLOODS-gauge-957,112,113,kanpur,26.4694,80.3764,Ganga,Ganga - Brahmaputra - Meghna,Uttar Pradesh,01-05-1959,31-12-2011,19206,19207,Restricted,87650,85868.82031,2.032150245,Safe
INDOFLOODS-gauge-948,123,124,ankinghat,26.9347,80.0361,Ganga,Ganga - Brahmaputra - Meghna,Uttar Pradesh,14-05-1968,31-12-2011,15937,15937,Restricted,82209,81570.95313,0.77612776,Safe
INDOFLOODS-gauge-115,47.68,48.68,Benibad,26.1453,85.6922,Ganga/Kosi/ Bagmati,Ganga - Brahmaputra - Meghna/Barak,Bihar,01-04-1985,30-12-2010,9405,9384,Restricted,6160,1793.517334,70.88445886,Caution
INDOFLOODS-gauge-164,204.5,205.33,delhi rly bridge,28.6625,77.2467,Ganga/Yamuna,Ganga - Brahmaputra - Meghna/Barak,Delhi,06-06-1963,31-12-2011,17741,17740,Restricted,18552,36437.1875,96.40571097,Caution
INDOFLOODS-gauge-953,161,162,kachlabridge,27.9319,78.8606,Ganga,Ganga - Brahmaputra - Meghna,Uttar Pradesh,10-12-1971,31-12-2011,14417,14477,Restricted,34446,32938.54688,4.376279162,Safe
INDOFLOODS-gauge-113,32.85,33.85,Baltara,25.5006,86.75,Ganga/Kosi,Ganga - Brahmaputra - Meghna/Barak,Bihar,01-01-1970,31-12-2010,14881,14852,Restricted,88480,82251.97656,7.038905335,Safe
INDOFLOODS-gauge-966,103,104,Banda,25.4833,80.3133,Ganga/Yamuna/Ken,Ganga - Brahmaputra - Meghna/Barak,Uttar Pradesh,01-06-1959,31-05-2011,18991,18991,Restricted,27616,25075.86914,9.198040484,Safe
INDOFLOODS-gauge-125,51.32,52.32,Saulighat,26.4089,85.8597,"Ganga/Kosi/
Bagmati/Adhwara/ Dhaus",Ganga - Brahmaputra - Meghna/Barak,Bihar,22-03-1985,31-12-2010,9416,9371,Restricted,1932,3314.956299,71.58158898,Caution
INDOFLOODS-gauge-114,62.2,63.2,Lalbegiyaghat,26.7153,84.9586,Ganga/Burhi Gandak,Ganga - Brahmaputra - Meghna/Barak,Bihar,01-06-1974,30-12-2010,13330,13324,Restricted,6900,6013.821289,12.84316972,Safe
INDOFLOODS-gauge-124,44.72,45.72,Hayaghat,26.0333,85.9,Ganga/Kosi/Bagmati,Ganga - Brahmaputra - Meghna/Barak,Bihar,01-01-1970,31-01-2010,14641,14611,Restricted,12973,8762.385742,32.45675062,Caution
INDOFLOODS-gauge-958,136.3,137.3,dabri,27.4958,79.6972,Ganga/Ramganga,Ganga - Brahmaputra - Meghna,Uttar Pradesh,16-06-1985,31-12-2011,9299,9300,Restricted,23919,24295.3125,1.573278565,Safe
INDOFLOODS-gauge-643,534,536,Terwad (seasonal),16.6753,74.5736,Krishna/ Panchganga,Krishna,Maharashtra,22-08-1979,27-05-2020,12115,12181,Open,2425,2428.131836,0.129147876,Safe
INDOFLOODS-gauge-532,476,477,Ujjain.,23.1683,75.7711,Ganga/Yamuna/ Chambal/Shipra,Ganga - Brahmaputra - Meghna/Barak,Madhya Pradesh,01-11-1976,31-05-2011,10514,12593,Restricted,2070,2056.525391,0.650947295,Safe
INDOFLOODS-gauge-503,129.79,130.79,Dholpur,26.6656,77.9667,"Ganga/Yamuna
/Chambal",Ganga - Brahmaputra - Meghna/Barak,Madhya Pradesh,16-01-1976,31-05-2011,12919,12920,Restricted,138123,132700.4063,3.925916538,Safe
INDOFLOODS-gauge-815,210,215,Barod,25.3833,76.3339,Ganga/Yamuna/ Chambal/ Kalisindh,Ganga - Brahmaputra - Meghna/Barak,Rajasthan,01-11-1970,31-05-2011,14820,14821,Restricted,24713,24549.14258,0.663041395,Safe
INDOFLOODS-gauge-482,197,198,Pali,25.8633,76.5767,Ganga/Yamuna/ Chambal/,Ganga - Brahmaputra - Meghna/Barak,Madhya Pradesh,10-06-1963,31-05-2011,12408,12408,Restricted,77076,76011.14844,1.381560486,Safe
INDOFLOODS-gauge-116,45.94,46.94,Ekmighat,26.1167,85.8589,Ganga/Kosi/ Bagmati/Adhwara,Ganga - Brahmaputra - Meghna/Barak,Bihar,01-04-1985,31-12-2010,9405,9312,Restricted,4197,516.7978516,87.68649389,Caution
INDOFLOODS-gauge-976,231,231.5,mawi,29.3847,77.1556,Ganga/Yamuna,Ganga - Brahmaputra - Meghna/Barak,Uttar Pradesh,01-06-1975,29-02-2012,13169,13325,Restricted,15622,15738.1377,0.743424017,Safe
